addressLine1;addressLine2;size;rooms;fee;price;soldDate;lat;lng
Bårdgränd 16;Åkeshov, Stockholm;47;2;3177;2395000;2018-11-24T23:00:00.000Z;59.33859529999999;17.9293401
Lodvägen 16, 6 tr;Edsberg, Stockholm;114;4;5988;3600000;2018-11-24T23:00:00.000Z;59.4472572;17.9612363
Lillhagsvägen 10;Hagsätra, Stockholm;90;4;5819;2500000;2018-11-24T23:00:00.000Z;59.2673746;18.0116629
Kyndelsmässogränd 14, 3 tr;Midsommarkransen - Telefonplan, Stockholm;54.5;2;3977;3400000;2018-11-24T23:00:00.000Z;59.29993469999999;18.0025563
Elin Wägners Gata 13, 2 Tr;Fruängen, Stockholm;58;2;4062;2550000;2018-11-24T23:00:00.000Z;59.28440149999999;17.9715095
Igeldammsgatan 22B, 4 tr;Kungsholmen / Fridhemsplan, Stockholm;75;3;4270;6800000;2018-11-24T23:00:00.000Z;59.3373087;18.0243543
Johan Skyttes väg 189;Älvsjö - Älvsjö Centrum, Stockholm;132;5;4856;5550000;2018-11-24T23:00:00.000Z;59.27918869999999;18.004441
Voxnegränd 26, 2 tr;Bagarmossen, Stockholm;54;2;4018;2380000;2018-11-24T23:00:00.000Z;59.2732847;18.1327402
Sturegatan 19;Östermalm, Stockholm;30;1;751;3195000;2018-11-24T23:00:00.000Z;59.3417881;18.0769789
Starrängsringen 15;Östermalm, Stockholm;83;3.5;2984;6725000;2018-11-24T23:00:00.000Z;59.34396069999999;18.0868772
Sollentunavägen 297;Häggvik Strand, Stockholm;44;2;2622;2300000;2018-11-24T23:00:00.000Z;59.44994320000001;17.9295462
Fridensborgsvägen 117;Järvastaden, Stockholm;44;2;2764;2500000;2018-11-24T23:00:00.000Z;59.3824153;17.9804836
Tunnlandsvägen 85;Brommaplan, Stockholm;92;4;4144;4830000;2018-11-22T23:00:00.000Z;59.3382555;17.94007
Fridensborgsvägen 117;Järvastaden, Stockholm;69;3;3793;3600000;2018-11-24T23:00:00.000Z;59.3824153;17.9804836
Erik Tegels väg 25;Spånga - Bromsten, Stockholm;57.5;2;3589;1750000;2018-11-22T23:00:00.000Z;59.3822808;17.9115255
Anders Lundströms gata 22;Frösunda, Stockholm;117;5;6504;6075000;2018-11-24T23:00:00.000Z;59.3715425;18.0119532
Vårfruvägen 10;Nynäshamn norra, Nynäshamn;72;3;5570;1550000;2018-11-22T23:00:00.000Z;58.91427640000001;17.9477321
Sjötullstorget 14;Norrtälje Hamn, Norrtälje;90;3;4351;3550000;2018-11-24T23:00:00.000Z;59.7586246;18.7032719
Körsångarvägen 63;Skogås, Stockholm;84;3;5509;2850000;2018-11-22T23:00:00.000Z;59.2222788;18.1535013
Svartågatan 74, 1 vån;Bagarmossen, Stockholm;55;2;3902;2430000;2018-11-24T23:00:00.000Z;59.2738281;18.1374689
Stupvägen 29;Helenelund, Stockholm;78;3;4304;2300000;2018-11-22T23:00:00.000Z;59.4108702;17.9652134
Fältspatsvägen 28;Norra Lännersta, ;107;4;5085;4100000;2018-11-24T23:00:00.000Z;59.3248072;18.2753528
Trefaldighetsvägen 16A;Gribbylund, Täby;83.7;4;3213;3000000;2018-11-22T23:00:00.000Z;59.46399219999999;18.0927237
Edinsvägen 8;Ektorp, Stockholm;29.5;1.5;1589;1680000;2018-11-24T23:00:00.000Z;59.3130233;18.1957244
Fyrspannsgatan 172, 3 tr;Hässelby Strand, Stockholm;35;2;2167;1975000;2018-11-24T23:00:00.000Z;59.360716;17.8327797
Stramaljvägen 17;Riksby, Stockholm;51;2;2717;2850000;2018-11-22T23:00:00.000Z;59.33904779999999;17.9504537
Hantverkargatan 79, vån 1;Kungsholmen, Stockholm;74;3;1984;5800000;2018-11-24T23:00:00.000Z;59.3309911;18.0303638
Trädgårdsvägen 2, vån 7;Runby, Upplands Väsby;32;1;1949;1680000;2018-11-22T23:00:00.000Z;59.52080429999999;17.8923879
Frihetsvägen 13;Jakobsberg, Stockholm;57.6;2;3117;1810000;2018-11-24T23:00:00.000Z;59.418091;17.8343581
Franzéngatan 49, 2 tr;Hornsbergs Strand, Stockholm;83.5;4;3178;6200000;2018-11-22T23:00:00.000Z;59.3394487;18.0069354
Gnejsvägen 9;Sigtuna - Til, Sigtuna;99.5;4;5382;2850000;2018-11-24T23:00:00.000Z;59.620288;17.855419
Vänortsstråket 13;Tureberg, Stockholm;64;2;3170;1870000;2018-11-22T23:00:00.000Z;59.42537409999999;17.9455503
Rusthållarvägen 187;Bagarmossen, Stockholm;67;3;4622;2700000;2018-11-22T23:00:00.000Z;59.2725301;18.1370055
Gaveliusgatan 6, 3 tr;Sofia, Stockholm;35;1;1499;3025000;2018-11-24T23:00:00.000Z;59.3093785;18.0933287
Follingbogatan 26;Bromma / Beckomberga, Stockholm;48.5;2;2562;2695000;2018-11-22T23:00:00.000Z;59.35832670000001;17.9001751
Granitvägen 31 A, 3 tr;Tyresö Centrum, Stockholm;81;3;4402;1800000;2018-11-22T23:00:00.000Z;59.24145809999999;18.2184375
Sjödalsvägen 19b, 4tr;Centrala Huddinge, Stockholm;31.5;1;1924;1810000;2018-11-24T23:00:00.000Z;59.2330549;17.9882355
Mariehällstorget 7;Bromma / Annedal, Stockholm;71;3;3106;3500000;2018-11-22T23:00:00.000Z;59.361204;17.9491147
Katarina Bangata 37;Södermalm, Stockholm;89;3;6548;7850000;2018-11-22T23:00:00.000Z;59.31147619999999;18.081031
Sjöviksvägen 144, 5tr;Liljeholmskajen, Stockholm;52;2.5;3210;3900000;2018-11-24T23:00:00.000Z;59.3054412;18.0358811
Vallavägen 35;Handen, Stockholm;78;2;4442;1600000;2018-11-24T23:00:00.000Z;59.16049469999999;18.1390876
Norr Mälarstrand 94, 6 tr;Kungsholmen, Stockholm;72;3;3738;6540000;2018-11-22T23:00:00.000Z;59.33044229999999;18.0254209
Årstaskogs väg 9C, 13 TR;Årstaberg, Stockholm;46;2;2984;2825000;2018-11-22T23:00:00.000Z;59.3024704;18.033513
Soldatgatan 17;Vaxön, Vaxholm;55;2;3107;1900000;2018-11-22T23:00:00.000Z;59.4038123;18.3376606
Kruthornsvägen 26;Edsberg, Stockholm;66;3;3410;1800000;2018-11-24T23:00:00.000Z;59.4442128;17.9732034
Ölandsgatan 46, 4 tr;Södermalm SoFo, Stockholm;42;2;2799;3675000;2018-11-22T23:00:00.000Z;59.3124414;18.0809595
Sätunavägen 14B; Märsta;38.5;1;2728;1400000;2018-11-24T23:00:00.000Z;59.6291688;17.8535867
Spångavägen 42;Bromma Brommaplan, Stockholm;56;2;3870;2500000;2018-11-22T23:00:00.000Z;59.3382555;17.94007
Östgötagatan 33;Södermalm Katarina, Stockholm;72;3;2148;5500000;2018-11-22T23:00:00.000Z;59.3148556;18.0764757
Österviksbacken 6, 1Tr;Karlberga Park, Södertälje;86;3;4644;2135000;2018-11-22T23:00:00.000Z;59.2098742;17.6092586
Östermalmstorg 5, 4tr;Östermalm, Stockholm;56;2;2378;7000000;2018-11-24T23:00:00.000Z;59.3361793;18.0792961
Söderberga Allé 64, Vån 4;Söderberga Allé, Stockholm;58;2;3903;1950000;2018-11-24T23:00:00.000Z;59.3588137;17.8956755
Pilvingegatan 107;Skarpnäck, Stockholm;65.5;2.5;5188;2430000;2018-11-22T23:00:00.000Z;59.2701139;18.1275697
Cirkusgränd 5;Sollentuna Centrum, Stockholm;73;2;4986;3000000;2018-11-22T23:00:00.000Z;59.42850739999999;17.9512209
Bokstigen 4;Västerhaninge, Västerhaninge;76;3;4459;1700000;2018-11-22T23:00:00.000Z;59.1260503;18.1048346
Badstrandsvägen 27;Stora Essingen, Stockholm;40;2;2356;2680000;2018-11-24T23:00:00.000Z;59.3217026;17.9897115
Lomvägen 649, 2tr;Kärrdal, ;83;3;4243;2150000;2018-11-22T23:00:00.000Z;59.430632;17.9959298
Ringvägen 158, 3 tr; Stockholm;22;1;950;2250000;2018-11-22T23:00:00.000Z;59.30987409999999;18.087118
Thorildsvägen 5;Kungsholmen - Thorildsplan, Stockholm;56.5;2;3273;4100000;2018-11-24T23:00:00.000Z;59.33234969999999;18.0162373
Tomtebogatan 3A;Vasastan - Birkastan, Stockholm;38;1;1176;4100000;2018-11-22T23:00:00.000Z;59.34122259999999;18.036685
Blommensbergsvägen 190;Hägersten-Liljeholmen Aspudden, Stockholm;58;2;3806;3630000;2018-11-24T23:00:00.000Z;59.306335;17.9933475
Sundbybergs Torg 1J, vån 12/12;Centrala Sundbyberg, Stockholm;58;2;3747;3775000;2018-11-22T23:00:00.000Z;59.36157919999999;17.9672625
Hägerstensvägen 157;Aspudden, Stockholm;52.5;2;3170;3200000;2018-11-22T23:00:00.000Z;59.30499270000001;17.9969974
Responsgatan 5, vån 3;Telefonplan/Midsommarkransen, Stockholm;68;3;2775;4500000;2018-11-24T23:00:00.000Z;59.2989293;17.9967156
Skebokvarnsvägen 376, vån 5.;Högdalen, Stockholm;33;1;2382;1650000;2018-11-22T23:00:00.000Z;59.26274599999999;18.0413137
Skolgatan 5a;Centrala Sundbyberg, Stockholm;88;3;5771;4450000;2018-11-24T23:00:00.000Z;59.3644237;17.963143
Bondegatan 46, 2tr;Södermalm SoFo, Stockholm;34;1;2053;2830000;2018-11-22T23:00:00.000Z;59.3124414;18.0809595
Granövägen 48,5tr;Hovsjö, Södertälje;60.5;2;4698;1200000;2018-11-22T23:00:00.000Z;59.1739384;17.6048108
Ystadsvägen 67;Björkhagen, Stockholm;50;2;2821;2500000;2018-11-22T23:00:00.000Z;59.2906035;18.1107014
Visättra backe 13B;Huddinge Visättra, ;70;3;4054;2455000;2018-11-24T23:00:00.000Z;59.21545769999999;17.9589707
Vigelsjövägen 21 A;Vigelsjö, Norrtälje;60.8;2;2983;1570000;2018-11-21T23:00:00.000Z;59.7598277;18.6810634
